Store,Product,2024-04-15,2024-04-22,2024-04-29,2024-05-06,2024-05-13,2024-05-20,2024-05-27,2024-06-03
61,134,1.989,0.045,1.347,0.932,0.714,0.265,1.604,0.124
61,137,0.001,0.371,0.241,0.001,0.944,0.002,1.447,0.486
61,139,0.126,0.601,0.016,0.006,0.004,1.383,0.64,1.1
61,140,0.606,0.286,0.256,0.637,0.001,0.508,0.876,0.462
61,145,0.609,1.731,0.761,0.473,0.382,0.441,0.003,0.885
62,147,0.008,0.659,2.225,0.875,0.001,0.001,2.687,0.292
62,151,2.084,0.104,0.051,0.058,0.047,0.031,0.035,3.385
61,152,1.425,1.425,1.425,1.425,1.425,1.425,1.425,1.425
62,171,1.124,0.37,0.517,1.5,0.882,0.485,2.56,0.612
61,173,0,0.618,0.992,0.612,0.429,0.039,0.216,0.027
60,18,0.886,0.012,1.016,0.234,0.861,0.484,0.009,0.8
61,181,0.041,0.677,0.036,2.68,0.812,0.453,1.488,1.164
0,182,0.36,0.36,0.576,0.358,1.185,0.004,2.187,0.843
61,183,0.052,3.634,0.008,0.008,0.051,0.679,0.395,1.018
61,184,0.038,2.882,0.623,0.028,0.398,0.01,1.193,0.447
61,185,0.373,0.369,0.365,0.361,0.357,0.353,0.349,0.345
61,187,2.233,3.444,3.965,3.54,2.314,0.761,0,0
62,191,0.312,0.366,0.441,0.526,0.611,0.681,0.724,0.734
64,193,0,0.2,0.047,0,0.001,0.082,0.001,0.002
61,194,0.363,0.49,0.592,0.64,0.62,0.54,0.42,0.297
61,195,0.009,0.495,0.8,0.001,0.007,0.007,0.888,0.153
61,196,0.045,0.113,0.821,0.074,0.067,0.136,0.991,0.336
61,197,0.028,1.538,2.173,0.039,1.485,1.231,0.269,0.042
62,203,0.709,0.709,0.709,0.709,0.709,0.709,0.709,0.709
62,204,0.545,0.872,0.695,0.031,0.348,1.435,2.72,0.208
62,205,0.363,0,0.407,0.902,0.63,0.327,0.414,0.151
62,206,0.643,1.437,0.497,0.937,0.915,2.693,2.711,0.74
63,207,1.033,0.012,1.877,0.471,1.373,2.002,0.526,0.064
61,208,0.516,0.34,0.395,0.638,1.484,1.587,0.219,0.046
62,209,1.218,0.001,2.238,0.963,0.305,0.938,1.919,0.743
61,212,0.001,0.001,0.001,1.949,0.449,0.001,0.562,0.395
61,219,1.598,0.001,0.001,2.303,1.408,0.864,1.032,0.001
61,220,0.435,0.452,0.522,2.006,0.465,3.824,0.389,0.595
61,221,0.96,1.624,0.787,0.974,0.597,1.385,0.381,0.053
61,222,1.012,2.174,0.775,0.002,0.001,0.001,0.002,0.002
61,223,0.001,0.948,1.88,0.479,0.679,0.709,0.685,0.001
62,225,0.001,0.003,0.004,0.005,0.004,0.004,1.517,0.007
63,227,1.874,3.238,0.261,3.29,1.421,0.186,0.099,0.116
63,228,0,0,0.85,11.709,0,0,0,0
60,229,2.67,0.658,4.461,3.062,2.469,3.617,0.692,2.569
61,230,0.007,0.635,1.601,0.004,0.005,0.006,0.007,0.008
61,231,0.001,0.001,0.001,2.812,0.004,0.001,0.575,0.002
61,232,0.013,0.005,0.092,0.992,1,0.889,0.889,1.029
61,241,0.01,1.412,0.837,0.039,0.264,3.74,1.228,0.019
61,242,0.002,0.903,0.772,1.536,0.828,0.661,0.007,0.005
60,243,1.071,0.251,0.694,0.003,0.01,0.652,0.279,0.25
61,244,1.932,1.748,0.865,3.04,0.612,0.637,0.917,0.774
61,245,0.054,0.404,0.351,0.583,1.305,0.605,0.39,1.405
61,247,0.597,0.441,1.064,0.607,0.125,0.117,1.074,0.562
61,249,1.362,0.899,0.372,0.605,0.67,0.001,0.003,0.347
61,251,0.428,0.87,1.646,0.002,0.81,0.431,0.304,0.001
61,252,1.059,0.583,0.333,0.184,0.348,2.176,0.206,0.209
61,253,0.026,0.498,0.016,0.756,1.42,0.806,2.543,0.063
61,256,0.532,0.429,0.776,0.725,0.427,0.852,0.98,0.514
61,258,0.057,0.028,0.274,0.008,2.917,0.435,0.179,0.935
61,259,0.433,0.85,0.611,0.566,0,0.506,0.859,0.592
61,26,0.895,1.134,1.506,1.763,1.877,1.857,1.744,1.6
61,260,0.743,0.213,0.163,0.679,0.222,0.001,1.241,0.552
61,261,0.522,0.66,1.065,0.035,0.923,0.405,0.24,1.466
61,269,1.051,1.051,1.051,1.051,1.051,1.051,1.051,1.051
60,270,0.226,0.919,0.277,1.104,1.518,0.463,1.13,0.01
61,273,1.336,0.654,0.196,1.172,0.716,0.16,2.88,1.173
61,274,0.685,1.116,0.651,0.172,0.446,0.158,0,0
61,275,1.312,0.236,0,0,0.193,0.165,0.606,1.008
60,28,0.643,0.643,0.643,0.643,0.643,0.643,0.643,0.643
62,283,2.116,1.21,0.087,1.855,0.323,0.665,0.973,0.001
61,285,0.486,0.064,0.891,0.023,0.002,0.864,0.737,1.537
63,290,2.066,0.006,0.424,0.341,0.699,0.148,0.165,0
61,292,0.664,0.216,0.395,1.576,0.002,0.953,0.687,1.009
61,293,1.02,1.012,0.918,0.922,1.512,0.237,0.221,0
62,294,0.014,1.478,0.023,0.022,0.016,0.409,1.812,1.06
61,295,1.054,0.588,0.001,0.001,0.673,0.163,0.188,0.748
61,31,0.58,1.936,1.43,3.901,1.03,0.054,0.907,0.66
61,32,1.206,1.206,1.206,1.206,1.206,1.206,1.206,1.206
61,34,2.306,0.341,0.014,1.294,0.37,0.32,2.134,0.02
61,35,0.206,2.119,1.438,0.457,0.785,0.336,0.592,0.089
61,36,0.414,0.6,0.385,1.939,1.417,0.5,1.394,0.486
60,41,1.335,0.682,1.531,0.329,0.316,0.116,0.138,0.101
61,43,1.257,0.011,1.792,0.184,0.172,0.196,0.154,0.237
61,44,0.515,2.977,2.85,1.772,0.785,0.842,0.869,0.831
61,46,0.803,0.803,0.803,0.803,0.803,0.803,0.803,0.803
61,5,0.929,0.913,0.884,0.851,0.823,0.809,0.812,0.829
61,58,1.052,0.001,0.001,0.001,2.384,0.677,0.58,0.875
61,59,0.002,0.523,0.146,0.376,0.601,1.523,0.528,0.504
62,6,0.855,0.855,0.855,0.855,0.855,0.855,0.855,0.855
61,60,0.002,0.547,0.398,0.111,1.889,2.224,0.418,1.302
61,66,0.513,0.523,1.111,0.597,1,1.05,0.815,0.308
61,68,1.682,0.582,0.257,0.586,0.142,1.444,1.849,1.394
62,72,0.001,1.341,0,0.73,0.974,0.121,0.681,1.47
62,74,1.041,1.626,3.172,1.218,0.027,0.031,0.043,0.031
61,75,0.9,0.835,0.702,0.963,0.28,0.765,1.371,0.39
62,77,0.069,2.167,2.318,1.73,0.484,1.912,0.496,0.114
61,78,0.003,0.713,0.653,0.703,0.253,1.452,0.011,0.446
61,79,0.601,0.6,0.543,0.436,0.296,0.15,0.028,0
61,81,0.327,1.671,1.046,0.638,0.301,0.833,0.381,0.369
61,82,0.329,1.82,1.171,0.011,0.719,0.861,0.023,0.512
62,84,1.335,1.321,1.301,1.283,1.269,1.258,1.244,1.222
61,85,0.672,0.432,1.167,1.571,0.88,0.76,0.54,0.621
62,86,0.733,1.427,0.501,0.645,0.443,0.394,0.246,0.884
61,9,0.609,1.922,1.262,1.121,1.245,0.77,0.492,1.334
62,90,0.764,0.764,0.764,0.764,0.764,0.764,0.764,0.764
62,93,0.011,0.002,0.411,0.405,0.72,0.592,0.432,2.175
61,95,0.195,1,2.146,4.548,0.366,1.233,1.74,1.74
62,96,0.635,0.047,0.605,0.532,0.03,1.108,0.389,0.171
63,97,0.377,0.371,0.365,0.359,0.353,0.347,0.342,0.336
61,98,0.571,0.51,1.099,0.712,0.882,0.455,0.003,0.714
63,100,0.489,1.113,0.776,1.029,0.342,0.757,0.98,0.848
37,103,1.741,1.588,1.611,3.221,1.757,1.906,2.252,2.96
60,109,2.301,5.398,7.532,5.532,2.925,2.615,2.691,3.213
61,114,2.117,2.117,2.117,2.117,2.117,2.117,2.117,2.117
6,124,5.705,8.062,10.313,9.677,5.717,5.614,6.166,5.491
60,125,71.366,74.885,116.183,97.104,59.559,64.285,76.508,78.407
9,126,1.526,1.525,1.525,1.525,1.525,1.524,1.524,1.524
61,128,2.446,2.451,2.478,2.06,3.18,1.358,2.784,1.399
63,135,1.988,1.988,1.988,1.988,1.988,1.988,1.988,1.988
62,136,1.535,1.535,1.535,1.535,1.535,1.535,1.535,1.535
62,141,0.525,0.381,1.528,4.481,0.42,1.184,1.021,0.312
61,15,4.335,3.764,3.649,4.037,4.463,4.445,3.993,3.618
64,150,1.034,0.727,0.937,1.302,0.679,0.678,0.478,0.377
61,154,2.168,2.723,4.673,5.091,2.159,1.634,3.331,2.985
64,16,4.242,4.242,4.242,4.242,4.242,4.242,4.242,4.242
54,17,8.305,8.305,8.305,8.305,8.305,8.305,8.305,8.305
62,178,1.882,1.755,2.037,1.987,0.924,2.008,1.387,1
63,186,16.252,16.252,16.252,16.252,16.252,16.252,16.252,16.252
61,2,0.858,2.503,3.321,5.757,2.148,1.664,1.683,1.352
61,210,1.535,2.632,3.227,4.642,2.442,2.555,2.164,1.807
61,214,3.985,2.753,2.655,7.727,4.034,4.793,3.836,3.511
62,218,1.737,2.784,3.01,1.863,1.429,1.251,1.311,1.72
61,226,3.969,9.295,6.28,9.619,3.39,9.363,7.135,4.959
63,23,45.889,70.059,63.011,56.414,58.625,58.568,55.684,47.38
63,27,0.173,0.711,2.464,1.034,0.343,0.829,0.68,0.271
61,276,1.01,0.969,0.598,0.721,1.275,0.963,2.114,0.524
61,278,1.316,2.828,2.734,2.786,3.144,1.652,3.55,3.691
61,279,2.068,2.255,3.118,2.62,1.935,2.822,3.752,2.671
61,281,1.826,2.713,2.829,3.349,3.593,1.799,2.669,4.46
61,282,1.66,1.718,1.649,0.986,1.542,1.937,3.162,1.152
62,284,0.152,0.138,0.125,0.112,0.098,0.085,0.072,0.058
61,29,1.379,0.469,0.582,0.373,0.827,0.218,0.573,0.526
62,296,0.015,0,0,0,0.013,0,0.169,0.246
61,30,0.509,3.135,3.176,4.476,1.402,3.516,3.835,2.927
60,47,8.047,14.023,20.826,19.552,11.087,10.915,15.209,10.425
61,48,24.522,40.871,60.696,58.373,28.894,28.209,38.176,27.008
61,54,4.205,13.092,16.22,11.722,6.365,6.15,6.894,4.685
64,55,1.057,1.858,0.753,0.798,1.073,4.563,2.284,1.008
62,63,1.027,1.733,1.243,1.268,0.741,0.697,0.698,0.84
60,64,0.57,2.834,2.254,0.903,0.68,0.891,1.572,1.206
61,8,2.062,1.384,2.052,3.032,2.38,1.746,2.594,1.743
62,80,1.347,3.113,2.391,4.286,1.361,1.453,3.411,1.314
61,87,1.593,1.536,2.801,3.079,2.215,1.866,2.581,1.945
61,88,1.696,2.683,4.926,5.373,5.312,3.751,2.907,2.667
61,89,1.376,1.376,1.376,1.376,1.376,1.376,1.376,1.376
61,92,1.048,2.182,2.312,3.696,1.604,1.547,1.801,2.676
61,94,1.377,1.743,2.117,2.71,1.185,1.901,0.986,1.061
61,99,8.518,6.179,9.582,8.968,6.976,7.985,6.071,6.022
60,10,0.606,0.606,0.606,0.606,0.606,0.606,0.606,0.606
60,105,0.546,0.876,0.878,1.291,0.447,1.558,1.705,0.615
61,107,1.09,0.959,1.469,2.72,0.714,0.783,1.492,0.785
63,107,1.371,1.207,1.849,3.424,0.899,0.986,1.878,0.987
60,111,0.876,0.7,1.307,1.578,0.568,0.791,1.965,0.653
60,112,0.183,1.389,1.22,1.114,0.976,0.384,1.16,1.358
61,113,0.926,0.926,0.926,0.926,0.926,0.926,0.926,0.926
63,113,0.591,0.591,0.591,0.591,0.591,0.591,0.591,0.591
61,119,0.691,0.899,0.691,0.849,0.879,0.749,1.663,1.063
63,119,0.547,0.712,0.547,0.672,0.696,0.593,1.316,0.841
61,12,0.68,0.776,0.861,0.92,0.944,0.932,0.894,0.84
61,120,0.053,1.428,1.896,0.938,0.789,0.473,1.103,0.569
60,121,0.444,0.894,1.436,0.942,0.482,0.291,0.74,0.313
62,121,0.613,1.236,1.985,1.302,0.666,0.403,1.022,0.433
61,13,0.34,0.4,0.199,0.392,0.389,0.395,1.072,0.246
61,138,0.647,1.149,0.817,1.361,0.997,0.038,1.054,0.433
61,14,0.121,4.183,0.915,0.544,0.256,0.377,1.571,0.271
61,146,0.561,1.151,3.106,3.281,0.793,1.379,1.262,1.161
61,148,1.855,1.168,1.352,5.078,0.46,0.551,1.35,0.602
60,153,0.378,0.33,0.632,1.266,0.237,0.603,0.825,0.235
62,153,0.766,0.669,1.279,2.563,0.48,1.22,1.67,0.476
61,155,0.955,4.154,1.675,0.987,0.828,0.939,1.65,2.527
60,156,0.653,1.583,2.127,1.28,0.995,1.739,0.937,0.879
62,156,1.151,2.792,3.752,2.258,1.755,3.067,1.653,1.55
62,160,2.924,1.84,0.814,1.7,1.049,0.511,0.724,1.017
60,163,0.479,0.479,0.479,0.479,0.479,0.479,0.479,0.479
60,164,1.184,1.184,1.184,1.184,1.184,1.184,1.184,1.184
60,165,0.415,0.899,1.19,0.813,0.204,0.596,0.521,0.848
60,166,0.165,1.055,0.718,1.476,1.174,0.218,0.45,0.324
62,166,0.198,1.266,0.861,1.771,1.409,0.262,0.54,0.389
60,167,0.814,0.829,0.81,0.763,0.703,0.645,0.606,0.597
63,168,0.734,0.82,2.15,1.513,1.161,1.302,0.679,0.793
61,168,0.792,0.884,2.319,1.633,1.252,1.405,0.733,0.855
60,169,2.201,0.975,1.971,1.797,0.972,1.021,0.504,1.401
63,169,1.662,0.737,1.488,1.357,0.734,0.771,0.38,1.058
60,170,1.804,2.48,2.274,2.601,1.565,1.335,1.479,0.754
60,172,0.818,0.818,0.818,0.818,0.818,0.818,0.818,0.818
60,175,1.599,1.644,1.428,0.463,1.571,1.02,0.557,0.734
62,175,1.564,1.607,1.396,0.453,1.536,0.997,0.545,0.717
60,176,0.974,1.946,2.511,2.023,0.997,1.473,1.192,1.215
60,180,0.216,0.802,0.935,1.731,0.324,0.737,1.918,0.76
61,188,0.047,1.916,0.677,0.224,0.617,0.495,0.854,0.041
60,19,0.658,1.121,1.288,1.379,0.913,0.884,1.275,0.717
63,19,0.402,0.686,0.788,0.844,0.559,0.541,0.78,0.439
62,19,0.314,0.535,0.615,0.659,0.436,0.422,0.609,0.342
61,190,0.598,0.242,0.462,0.787,0.607,0.587,0.89,0.764
60,192,0.251,0.151,0.252,0.987,0.357,0.353,0.255,0.25
62,192,0.421,0.252,0.423,1.655,0.598,0.592,0.427,0.419
61,198,0.038,1.017,0.157,1.46,0.442,0.022,1.541,0.042
61,199,0.844,3.337,1.818,3.756,0.695,2.68,2.185,1.773
62,20,0.532,0.669,0.599,0.902,0.549,0.643,0.715,0.676
61,20,0.698,0.878,0.787,1.183,0.72,0.844,0.939,0.887
60,20,0.931,1.17,1.049,1.578,0.961,1.125,1.252,1.183
61,200,2.117,2.117,2.117,2.117,2.117,2.117,2.117,2.117
60,201,0.688,0.64,0.886,1.531,0.551,0.778,1.616,0.581
61,202,2.177,0.734,1.475,1.102,0.367,1.811,3.366,1.547
62,21,0.505,0.628,0.562,1.257,0.398,0.554,0.473,0.726
61,21,0.546,0.679,0.607,1.359,0.43,0.599,0.511,0.785
60,21,0.6,0.747,0.668,1.495,0.473,0.659,0.562,0.864
60,211,1.252,1.742,1.739,1.11,2.296,1.23,1.527,0.919
60,213,0.344,1.168,1.416,0.764,0.863,0.976,0.765,0.927
63,213,0.372,1.263,1.531,0.826,0.933,1.055,0.827,1.002
62,213,0.586,1.99,2.412,1.3,1.469,1.662,1.303,1.578
60,215,0.486,0.012,1.429,0.437,1.074,0.009,0.513,0.012
60,216,1.232,1.349,0.826,1.43,1.04,0.853,0.86,0.851
62,216,2.009,2.2,1.346,2.331,1.696,1.391,1.402,1.388
61,217,0.794,2.071,1.614,2.571,0.052,1.203,0.217,0.013
62,22,0.366,0.743,0.785,0.181,1.023,0.368,1.06,0.966
61,22,0.341,0.693,0.731,0.169,0.953,0.343,0.988,0.9
61,224,1.312,0.731,3.481,0.531,0.328,1.754,4.022,1.382
61,233,0,0,0,0.594,0.895,0.424,2.929,0
61,234,0.617,1.16,2.612,0.392,0.082,0.071,0.07,0.777
63,237,0.513,1.701,0.503,0.429,0.374,0.335,0.758,0.773
61,238,0.503,1.807,1.845,1.2,0.654,0.702,1.032,0.795
64,238,0.522,1.876,1.914,1.246,0.679,0.728,1.071,0.825
52,239,1.21,1.464,2.373,0.932,0.329,0.303,0.807,0.618
63,239,1.56,1.887,3.06,1.202,0.425,0.391,1.041,0.797
62,239,1.433,1.733,2.81,1.104,0.39,0.359,0.956,0.732
60,240,0.125,1.263,1.455,3.755,1.192,0.442,0.649,0.108
61,246,0.259,0.088,0.277,0.303,0.052,0.185,0.4,0.534
61,248,0.853,1.029,0.885,0.413,1.47,0.977,0.916,0.27
61,254,1.348,0.086,1.667,0.931,0.909,0.082,1.642,1.025
61,262,2.443,1.446,0.371,1.481,1.403,0.591,1.254,0.449
60,263,0.089,0.074,0.278,0.353,0.257,0.284,0.019,0.522
60,265,0.428,0.355,1.05,0.665,1.197,0.322,2.052,1.456
60,266,0.385,0.065,0.198,0.486,0.209,0.156,0.717,0.539
60,267,0.462,0.376,1.452,0.601,1.284,0.6,1.253,0.436
60,268,1.159,1.353,0.941,1.114,0.601,0.775,1.256,0.526
63,268,0.78,0.911,0.633,0.75,0.405,0.522,0.846,0.355
62,268,0.733,0.856,0.595,0.705,0.38,0.49,0.794,0.333
