Store,Product,5/6/2024,5/13/2024,5/20/2024
60,2,1.13 ,1.02 ,0.98 
60,3,1.17 ,1.23 ,1.07 
60,4,1.09 ,1.08 ,0.99 
60,7,0.87 ,0.87 ,0.87 
60,8,1.22 ,1.09 ,1.04 
60,10,0.83 ,0.92 ,0.82 
60,18,0.87 ,0.87 ,0.94 
60,19,0.91 ,0.90 ,0.94 
60,20,1.48 ,0.96 ,1.00 
60,21,0.99 ,0.97 ,1.08 
60,22,1.12 ,1.02 ,0.90 
60,23,75.55 ,83.09 ,85.77 
60,25,1.69 ,1.63 ,1.53 
60,28,0.73 ,0.81 ,0.82 
60,29,2.25 ,2.72 ,2.54 
60,30,1.43 ,1.03 ,1.03 
60,33,0.99 ,0.96 ,1.15 
60,39,0.97 ,0.96 ,0.86 
60,40,1.39 ,0.86 ,0.96 
60,41,0.81 ,0.91 ,0.83 
60,42,1.64 ,1.21 ,1.14 
60,45,2.47 ,1.96 ,1.79 
60,47,13.92 ,12.45 ,11.75 
60,48,13.33 ,12.44 ,11.41 
60,49,1.05 ,0.86 ,0.83 
60,51,1.25 ,1.06 ,0.90 
60,55,3.29 ,2.67 ,2.42 
60,56,0.76 ,0.84 ,0.85 
60,61,0.77 ,0.85 ,0.85 
60,64,1.02 ,1.09 ,1.04 
60,65,0.96 ,0.90 ,0.90 
60,67,0.85 ,1.10 ,0.90 
60,87,2.39 ,2.00 ,1.86 
60,88,3.17 ,2.31 ,2.02 
60,89,1.22 ,1.03 ,0.98 
60,91,0.77 ,0.84 ,0.93 
60,92,1.46 ,1.09 ,0.93 
60,94,0.99 ,1.07 ,0.90 
60,99,6.54 ,5.46 ,4.90 
60,100,0.98 ,0.98 ,0.90 
60,105,1.42 ,0.94 ,1.06 
60,106,0.79 ,0.85 ,0.85 
60,109,6.25 ,5.52 ,5.89 
60,111,0.95 ,0.96 ,0.86 
60,112,1.06 ,1.17 ,0.86 
60,114,1.36 ,1.53 ,1.30 
60,116,0.83 ,1.53 ,3.89 
60,121,0.93 ,0.87 ,0.87 
60,122,0.99 ,1.06 ,0.90 
60,124,7.16 ,7.45 ,6.83 
60,125,89.07 ,73.11 ,87.27 
60,126,8.66 ,9.59 ,11.72 
60,128,1.73 ,1.24 ,1.14 
60,153,0.98 ,0.98 ,0.90 
60,154,1.83 ,1.47 ,1.36 
60,156,1.21 ,1.14 ,0.93 
60,163,0.81 ,0.82 ,0.83 
60,164,1.50 ,1.44 ,1.23 
60,165,0.73 ,0.81 ,0.82 
60,166,1.00 ,0.85 ,0.85 
60,167,0.87 ,0.87 ,0.87 
60,168,0.76 ,0.84 ,0.85 
60,169,1.03 ,1.03 ,0.93 
60,170,1.23 ,0.93 ,0.90 
60,172,0.86 ,0.96 ,0.90 
60,174,1.41 ,1.27 ,1.16 
60,175,0.90 ,0.94 ,0.96 
60,176,1.62 ,1.47 ,1.36 
60,180,1.05 ,0.83 ,0.83 
60,192,0.99 ,1.06 ,0.90 
60,201,1.13 ,1.03 ,0.98 
60,210,1.52 ,1.43 ,1.39 
60,211,1.03 ,1.03 ,1.00 
60,213,0.93 ,0.85 ,0.82 
60,214,4.28 ,3.58 ,3.50 
60,215,1.23 ,1.49 ,0.90 
60,216,1.54 ,1.37 ,1.24 
60,226,1.79 ,1.61 ,1.70 
60,229,1.13 ,1.04 ,1.10 
60,235,1.84 ,1.69 ,1.87 
60,236,2.06 ,2.14 ,2.37 
60,237,2.00 ,2.18 ,2.32 
60,240,2.16 ,1.60 ,1.42 
60,243,0.81 ,0.82 ,0.83 
60,250,0.86 ,1.00 ,1.35 
60,263,0.81 ,0.82 ,0.83 
60,265,0.81 ,1.08 ,0.89 
60,266,0.85 ,0.85 ,0.85 
60,267,0.74 ,0.81 ,0.82 
60,268,0.79 ,0.85 ,0.85 
60,270,0.91 ,1.04 ,0.85 
60,272,0.82 ,0.81 ,0.82 
60,276,1.00 ,0.85 ,0.89 
60,278,1.14 ,1.27 ,1.27 
60,279,1.23 ,1.27 ,1.28 
60,280,0.77 ,0.84 ,0.85 
60,281,1.12 ,1.72 ,1.38 
60,282,1.19 ,1.16 ,1.07 
60,289,0.89 ,1.10 ,0.90 
60,296,0.91 ,0.98 ,1.03 
61,0,1.32 ,1.17 ,0.86 
61,2,1.69 ,1.82 ,1.75 
61,3,1.41 ,1.31 ,1.28 
61,4,1.60 ,1.53 ,3.86 
61,5,0.92 ,0.82 ,0.83 
61,7,0.89 ,0.85 ,0.89 
61,8,1.21 ,1.56 ,1.30 
61,9,0.76 ,0.84 ,0.85 
61,10,1.08 ,0.99 ,0.90 
61,11,0.84 ,0.85 ,0.87 
61,12,0.89 ,0.92 ,0.94 
61,13,0.85 ,0.93 ,0.87 
61,14,1.21 ,0.82 ,0.83 
61,15,4.85 ,5.24 ,5.30 
61,19,0.99 ,1.01 ,0.93 
61,20,0.87 ,0.88 ,0.85 
61,21,1.17 ,1.06 ,0.93 
61,22,0.86 ,0.89 ,0.90 
61,23,91.40 ,75.83 ,118.11 
61,24,1.24 ,1.16 ,1.13 
61,26,1.72 ,1.64 ,1.94 
61,27,2.97 ,2.51 ,3.95 
61,29,2.10 ,2.13 ,2.31 
61,30,1.86 ,2.08 ,2.37 
61,31,1.26 ,0.98 ,0.90 
61,32,1.21 ,0.85 ,0.87 
61,33,1.21 ,1.13 ,1.13 
61,34,0.77 ,0.85 ,0.89 
61,35,0.98 ,0.90 ,0.87 
61,36,0.95 ,0.96 ,0.85 
61,37,0.97 ,0.81 ,0.82 
61,38,2.44 ,2.01 ,1.71 
61,39,3.83 ,3.36 ,2.79 
61,42,2.06 ,2.04 ,1.89 
61,43,0.73 ,0.81 ,0.82 
61,44,0.99 ,0.85 ,0.93 
61,45,2.13 ,2.17 ,1.85 
61,46,1.34 ,0.84 ,0.85 
61,47,48.41 ,26.53 ,31.90 
61,48,47.46 ,34.91 ,42.26 
61,49,1.39 ,1.29 ,1.07 
61,50,0.86 ,0.90 ,1.30 
61,51,0.85 ,0.89 ,0.90 
61,52,0.77 ,0.85 ,0.89 
61,53,1.03 ,0.86 ,0.89 
61,54,13.44 ,10.59 ,10.92 
61,57,0.94 ,1.17 ,1.03 
61,58,0.74 ,0.92 ,0.82 
61,59,0.91 ,0.85 ,0.87 
61,60,0.76 ,0.84 ,1.48 
61,61,1.84 ,1.98 ,1.50 
61,62,3.57 ,3.73 ,3.12 
61,63,1.85 ,1.70 ,1.77 
61,64,1.61 ,1.67 ,1.77 
61,65,3.38 ,1.54 ,1.83 
61,66,0.75 ,0.82 ,0.91 
61,67,1.78 ,1.86 ,1.88 
61,68,1.10 ,0.99 ,0.86 
61,69,0.82 ,0.89 ,0.94 
61,70,1.02 ,0.98 ,0.89 
61,71,4.63 ,2.79 ,1.73 
61,73,1.15 ,1.06 ,0.93 
61,75,1.00 ,0.85 ,0.85 
61,76,1.60 ,1.48 ,1.43 
61,78,0.98 ,0.98 ,0.90 
61,79,0.87 ,0.87 ,0.94 
61,80,2.33 ,2.36 ,2.44 
61,81,0.77 ,0.85 ,0.89 
61,82,1.96 ,1.68 ,1.43 
61,83,1.23 ,1.23 ,1.07 
61,85,0.97 ,0.91 ,0.85 
61,87,2.60 ,2.82 ,2.69 
61,88,2.65 ,2.18 ,2.15 
61,89,1.54 ,1.63 ,1.91 
61,91,3.42 ,1.26 ,1.18 
61,92,3.45 ,1.47 ,1.37 
61,94,1.57 ,1.46 ,1.37 
61,95,1.02 ,0.86 ,0.89 
61,98,0.73 ,0.90 ,0.82 
61,99,7.90 ,8.40 ,8.47 
61,100,1.24 ,1.16 ,1.13 
61,101,0.76 ,0.91 ,0.85 
61,105,1.18 ,1.08 ,0.89 
61,107,1.39 ,1.29 ,1.07 
61,108,0.78 ,0.85 ,0.89 
61,109,16.11 ,13.76 ,13.86 
61,110,1.06 ,0.94 ,0.86 
61,113,1.50 ,1.10 ,0.98 
61,114,2.89 ,2.41 ,2.17 
61,115,1.46 ,0.83 ,0.83 
61,119,0.86 ,0.94 ,1.05 
61,120,1.12 ,1.02 ,0.90 
61,121,1.06 ,1.01 ,0.93 
61,123,1.56 ,1.51 ,1.53 
61,124,212.76 ,118.85 ,65.13 
61,126,15.18 ,15.20 ,19.77 
61,127,0.88 ,0.89 ,0.94 
61,128,1.39 ,1.58 ,1.41 
61,129,1.92 ,4.12 ,1.97 
61,130,1.96 ,2.00 ,1.97 
61,131,1.53 ,1.38 ,1.34 
61,132,0.96 ,0.96 ,0.96 
61,133,3.12 ,3.11 ,3.70 
61,134,0.95 ,1.05 ,0.86 
61,135,3.20 ,2.41 ,2.48 
61,136,2.83 ,2.78 ,2.58 
61,137,0.98 ,0.98 ,0.90 
61,138,1.43 ,1.11 ,1.07 
61,139,0.76 ,0.84 ,0.85 
61,140,0.82 ,0.81 ,0.82 
61,141,3.63 ,2.43 ,2.49 
61,142,0.96 ,0.93 ,0.94 
61,144,1.04 ,1.06 ,1.11 
61,145,0.99 ,0.97 ,0.85 
61,146,1.10 ,1.11 ,1.09 
61,148,2.02 ,1.87 ,1.93 
61,149,1.56 ,1.26 ,1.24 
61,150,2.80 ,3.18 ,2.78 
61,152,1.74 ,1.18 ,1.06 
61,153,1.45 ,0.89 ,0.94 
61,154,3.08 ,2.24 ,2.47 
61,155,1.75 ,1.79 ,1.89 
61,156,1.20 ,1.07 ,1.04 
61,157,3.69 ,2.32 ,1.81 
61,158,1.59 ,1.31 ,1.20 
61,166,0.86 ,0.96 ,0.90 
61,167,1.41 ,1.03 ,0.98 
61,168,0.86 ,0.85 ,0.89 
61,173,1.18 ,0.99 ,0.86 
61,175,0.96 ,0.96 ,1.01 
61,178,1.61 ,1.21 ,1.56 
61,179,0.89 ,0.94 ,0.96 
61,180,1.17 ,1.19 ,1.11 
61,181,0.98 ,0.90 ,0.87 
61,183,0.86 ,0.89 ,0.90 
61,184,0.99 ,0.96 ,0.96 
61,185,0.93 ,0.89 ,0.90 
61,187,3.04 ,1.65 ,1.62 
61,188,0.85 ,0.89 ,0.90 
61,190,1.09 ,1.04 ,1.04 
61,192,0.85 ,0.85 ,0.89 
61,194,0.95 ,0.96 ,0.86 
61,195,0.98 ,0.98 ,0.87 
61,196,0.85 ,0.85 ,0.87 
61,197,1.04 ,1.03 ,0.93 
61,198,1.00 ,1.09 ,0.93 
61,199,1.61 ,1.75 ,1.94 
61,200,1.66 ,1.73 ,1.77 
61,201,3.20 ,2.63 ,2.47 
61,202,1.05 ,1.02 ,1.09 
61,208,0.86 ,0.85 ,0.96 
61,210,2.84 ,2.23 ,2.59 
61,211,1.59 ,2.04 ,1.58 
61,212,1.43 ,0.85 ,0.85 
61,213,0.95 ,0.99 ,1.03 
61,214,4.56 ,4.44 ,4.09 
61,215,1.14 ,1.44 ,0.99 
61,216,1.57 ,2.21 ,1.79 
61,217,1.18 ,1.26 ,1.44 
61,218,2.62 ,2.78 ,2.52 
61,219,0.90 ,0.82 ,0.83 
61,220,1.08 ,1.08 ,1.17 
61,221,1.13 ,1.13 ,1.10 
61,222,0.79 ,0.85 ,0.85 
61,223,0.75 ,0.82 ,0.82 
61,224,2.08 ,2.31 ,2.73 
61,226,8.24 ,6.97 ,7.06 
61,230,0.73 ,0.81 ,0.82 
61,231,3.83 ,1.74 ,1.52 
61,232,1.13 ,1.13 ,1.01 
61,233,0.92 ,0.90 ,0.94 
61,234,1.31 ,1.20 ,1.16 
61,238,1.24 ,1.17 ,1.07 
61,239,1.11 ,1.07 ,0.96 
61,241,1.35 ,1.29 ,1.07 
61,242,1.13 ,0.99 ,0.96 
61,244,0.85 ,0.85 ,0.89 
61,245,0.78 ,0.85 ,0.89 
61,246,0.79 ,0.85 ,0.85 
61,247,0.90 ,0.90 ,0.90 
61,248,0.77 ,0.85 ,0.85 
61,249,0.85 ,0.85 ,0.87 
61,251,0.74 ,0.82 ,0.82 
61,252,0.77 ,0.85 ,0.89 
61,253,0.86 ,0.93 ,0.89 
61,254,0.76 ,0.84 ,0.85 
61,255,1.62 ,1.46 ,1.30 
61,256,1.03 ,1.03 ,0.93 
61,257,1.22 ,1.11 ,0.99 
61,258,0.85 ,0.89 ,0.90 
61,259,0.85 ,0.87 ,0.87 
61,260,0.73 ,0.81 ,0.82 
61,261,0.77 ,0.84 ,0.85 
61,262,1.06 ,1.14 ,1.19 
61,263,0.83 ,0.84 ,0.85 
61,264,0.96 ,0.93 ,0.94 
61,265,1.14 ,1.22 ,1.27 
61,266,1.25 ,1.25 ,1.16 
61,267,0.84 ,0.85 ,0.87 
61,268,0.91 ,0.85 ,0.87 
61,269,0.81 ,0.85 ,0.89 
61,271,1.39 ,1.16 ,1.24 
61,272,0.89 ,0.93 ,0.89 
61,273,0.99 ,0.89 ,0.89 
61,274,0.76 ,0.91 ,0.85 
61,275,0.73 ,0.81 ,0.82 
61,276,1.22 ,1.27 ,1.28 
61,277,1.32 ,1.23 ,1.26 
61,278,2.27 ,2.58 ,2.41 
61,279,2.29 ,2.33 ,2.68 
61,280,1.03 ,1.03 ,0.93 
61,281,2.90 ,2.52 ,2.24 
61,282,2.78 ,2.59 ,2.38 
61,284,1.42 ,1.45 ,1.54 
61,285,0.89 ,0.90 ,0.90 
61,286,0.79 ,0.87 ,0.92 
61,287,0.85 ,1.08 ,0.94 
61,288,1.08 ,1.01 ,1.00 
61,289,1.16 ,1.16 ,1.07 
61,291,1.13 ,1.16 ,3.37 
61,292,0.83 ,0.83 ,0.83 
61,293,0.83 ,0.92 ,0.83 
61,295,0.76 ,0.84 ,0.85 
61,296,1.30 ,1.26 ,1.27 
62,1,0.87 ,0.96 ,0.85 
62,2,1.63 ,1.67 ,1.51 
62,6,0.92 ,0.82 ,0.83 
62,8,1.68 ,1.62 ,1.42 
62,12,0.87 ,0.87 ,0.87 
62,13,0.96 ,0.86 ,0.83 
62,14,0.81 ,0.82 ,0.83 
62,19,0.75 ,0.82 ,0.82 
62,20,0.74 ,0.82 ,0.82 
62,21,0.82 ,0.83 ,0.92 
62,22,0.77 ,0.85 ,0.85 
62,23,61.14 ,64.13 ,58.50 
62,29,1.80 ,1.76 ,1.89 
62,37,0.85 ,1.07 ,0.94 
62,40,2.04 ,2.01 ,1.79 
62,47,11.45 ,10.69 ,11.06 
62,48,10.76 ,9.81 ,9.38 
62,50,0.74 ,0.81 ,0.91 
62,52,0.85 ,0.87 ,0.87 
62,61,0.77 ,0.84 ,0.85 
62,63,1.80 ,1.70 ,1.69 
62,64,2.43 ,2.07 ,1.88 
62,70,1.49 ,1.13 ,0.87 
62,72,0.84 ,1.07 ,0.87 
62,74,1.06 ,0.99 ,0.90 
62,77,1.22 ,0.99 ,1.09 
62,80,2.94 ,2.35 ,2.38 
62,84,1.06 ,1.14 ,0.90 
62,86,1.19 ,0.99 ,0.90 
62,87,4.13 ,3.65 ,3.45 
62,88,3.59 ,4.08 ,3.08 
62,89,2.17 ,1.94 ,1.79 
62,90,1.08 ,1.07 ,0.90 
62,91,1.25 ,0.92 ,1.01 
62,92,2.30 ,1.77 ,1.79 
62,93,0.89 ,1.11 ,0.90 
62,94,1.37 ,1.39 ,1.37 
62,96,0.73 ,0.81 ,0.82 
62,99,13.17 ,11.36 ,12.14 
62,100,1.66 ,1.53 ,1.39 
62,102,1.69 ,1.40 ,1.02 
62,104,1.01 ,0.99 ,0.90 
62,107,1.14 ,0.99 ,0.96 
62,112,0.94 ,0.85 ,0.82 
62,113,0.76 ,0.84 ,0.85 
62,114,0.85 ,0.86 ,0.89 
62,117,0.90 ,1.11 ,0.89 
62,118,0.73 ,0.81 ,0.82 
62,119,1.54 ,1.69 ,1.28 
62,120,0.73 ,0.81 ,0.82 
62,121,1.26 ,1.06 ,0.98 
62,126,8.85 ,10.15 ,12.23 
62,128,1.88 ,1.79 ,1.60 
62,135,2.44 ,2.14 ,2.11 
62,136,2.34 ,1.97 ,2.12 
62,141,1.83 ,1.41 ,1.73 
62,143,1.18 ,1.19 ,1.20 
62,146,2.13 ,1.55 ,1.48 
62,147,1.61 ,1.39 ,1.24 
62,148,2.94 ,2.50 ,1.69 
62,151,0.83 ,0.85 ,0.82 
62,153,1.98 ,1.81 ,1.53 
62,154,3.80 ,3.16 ,2.79 
62,155,0.99 ,1.01 ,0.93 
62,156,1.78 ,1.77 ,1.76 
62,159,1.64 ,2.21 ,2.04 
62,160,0.89 ,0.90 ,0.90 
62,161,1.23 ,0.98 ,1.22 
62,162,0.82 ,0.89 ,0.94 
62,163,0.91 ,0.85 ,0.94 
62,164,1.15 ,1.02 ,1.03 
62,165,1.22 ,1.09 ,1.05 
62,166,0.85 ,1.05 ,0.85 
62,169,1.26 ,0.90 ,0.90 
62,170,3.60 ,2.32 ,1.99 
62,171,0.77 ,0.91 ,0.85 
62,172,1.51 ,1.47 ,1.10 
62,175,1.00 ,1.64 ,1.50 
62,176,1.31 ,1.32 ,1.70 
62,177,1.18 ,1.38 ,1.11 
62,178,1.22 ,1.27 ,1.28 
62,190,1.21 ,1.25 ,1.40 
62,191,0.93 ,0.89 ,0.90 
62,192,1.39 ,1.28 ,1.21 
62,198,0.73 ,0.81 ,0.82 
62,199,2.19 ,2.31 ,2.41 
62,202,0.95 ,0.98 ,1.03 
62,203,0.93 ,0.89 ,0.90 
62,204,1.23 ,1.12 ,1.07 
62,205,0.73 ,0.90 ,0.82 
62,206,1.05 ,1.02 ,1.35 
62,209,1.24 ,0.96 ,0.86 
62,210,2.18 ,1.94 ,1.79 
62,213,1.38 ,1.60 ,1.38 
62,214,4.21 ,3.57 ,3.87 
62,216,1.67 ,1.55 ,1.58 
62,217,0.82 ,0.89 ,1.00 
62,218,4.01 ,3.54 ,3.21 
62,224,1.02 ,1.06 ,1.11 
62,225,0.85 ,0.85 ,0.87 
62,226,5.84 ,4.55 ,4.53 
62,233,1.76 ,1.22 ,1.11 
62,238,1.06 ,1.01 ,0.93 
62,239,1.59 ,1.21 ,1.14 
62,246,0.87 ,0.87 ,0.87 
62,248,0.91 ,0.96 ,1.14 
62,254,0.85 ,0.89 ,0.90 
62,262,0.96 ,0.98 ,0.89 
62,268,0.75 ,0.82 ,0.82 
62,271,0.74 ,0.81 ,0.82 
62,276,0.85 ,0.89 ,0.98 
62,278,1.35 ,1.34 ,1.24 
62,279,1.18 ,1.18 ,1.18 
62,281,1.57 ,1.44 ,1.30 
62,282,0.87 ,0.89 ,1.00 
62,283,0.93 ,0.87 ,0.87 
62,284,1.06 ,1.14 ,1.19 
62,287,0.81 ,0.86 ,0.89 
62,288,1.07 ,0.99 ,0.90 
62,289,0.83 ,0.84 ,0.93 
62,291,0.76 ,0.84 ,0.85 
62,294,0.74 ,0.81 ,0.82 
62,296,1.15 ,1.27 ,1.27 
63,2,1.26 ,0.94 ,0.96 
63,19,0.74 ,0.81 ,0.82 
63,23,50.93 ,63.76 ,63.75 
63,27,0.85 ,0.91 ,0.85 
63,30,1.14 ,1.38 ,1.20 
63,47,15.48 ,13.21 ,11.43 
63,48,15.15 ,13.21 ,11.43 
63,49,1.33 ,1.03 ,0.93 
63,53,0.82 ,0.90 ,0.82 
63,54,6.91 ,6.70 ,6.37 
63,56,0.87 ,0.89 ,0.94 
63,63,1.67 ,1.59 ,1.58 
63,73,1.20 ,1.00 ,0.94 
63,83,1.01 ,0.99 ,0.97 
63,87,1.03 ,0.86 ,0.89 
63,88,0.77 ,1.05 ,0.85 
63,92,1.23 ,0.85 ,0.87 
63,97,0.77 ,0.85 ,0.89 
63,99,3.27 ,2.72 ,2.27 
63,100,0.85 ,0.84 ,0.85 
63,107,3.95 ,1.83 ,1.57 
63,111,1.13 ,0.88 ,0.85 
63,113,1.47 ,0.88 ,0.85 
63,119,0.73 ,1.21 ,0.82 
63,124,91.17 ,100.76 ,87.91 
63,126,9.86 ,8.83 ,8.61 
63,128,2.07 ,1.66 ,1.39 
63,135,1.84 ,1.99 ,2.00 
63,136,2.32 ,2.06 ,2.30 
63,138,0.73 ,0.81 ,0.82 
63,154,0.85 ,0.84 ,0.85 
63,160,1.12 ,0.90 ,0.82 
63,168,0.83 ,0.84 ,0.85 
63,169,1.37 ,0.99 ,0.86 
63,178,1.61 ,1.06 ,1.14 
63,186,18.35 ,17.47 ,18.02 
63,188,0.91 ,0.97 ,0.85 
63,189,1.93 ,1.99 ,1.66 
63,200,0.85 ,1.10 ,0.90 
63,207,0.99 ,1.19 ,1.27 
63,213,0.94 ,1.05 ,0.96 
63,214,2.04 ,1.46 ,1.30 
63,218,0.96 ,0.94 ,0.86 
63,227,2.33 ,1.95 ,1.81 
63,228,2.71 ,1.71 ,1.79 
63,234,1.03 ,1.08 ,1.11 
63,237,1.74 ,1.87 ,1.92 
63,239,1.05 ,1.02 ,1.03 
63,240,1.57 ,1.39 ,1.11 
63,268,1.26 ,1.06 ,0.98 
63,278,0.74 ,0.92 ,0.82 
63,279,0.73 ,0.81 ,0.82 
63,284,0.89 ,0.94 ,1.15 
63,290,0.73 ,0.81 ,0.82 
64,4,0.73 ,0.81 ,1.21 
64,16,3.61 ,3.72 ,4.31 
64,17,27.23 ,39.92 ,46.41 
64,20,0.82 ,0.83 ,0.92 
64,21,0.85 ,0.84 ,0.85 
64,23,21.06 ,24.49 ,25.33 
64,55,1.08 ,1.08 ,1.11 
64,63,0.93 ,0.90 ,0.98 
64,103,9.23 ,8.72 ,12.75 
64,150,0.86 ,0.89 ,0.98 
64,193,1.51 ,1.36 ,1.21 
64,238,0.78 ,0.85 ,0.89 
65,126,3.58 ,2.98 ,2.81 
66,124,7.05 ,7.90 ,7.52 
66,126,3.58 ,3.22 ,3.63 
