Store,Product,06/05/2024,13/05/2024,20/05/2024
64,21,0,0,0
64,23,41,25,28
64,55,0,0,0
64,63,1,1,1
64,103,4,5,4
64,150,2,1,1
64,193,1,1,1
64,238,1,1,1
65,126,6,3,4
66,124,10,6,7
66,126,4,3,3
